dtxsid,pfas_id,preferred_name,casrn,molecular_formula,average_mass,monoisotopic_mass,ms_ready_smiles,atmospheric_hydroxylation_rate_aoh_cm3_molecule_sec_opera_pred,bioconcentration_factor_opera_pred,biodegradation_half_life_days_days_opera_pred,boiling_point_degc_opera_pred,henrys_law_atm_m3_mole_opera_pred,opera_km_days_opera_pred,octanol_air_partition_coeff_logkoa_opera_pred,soil_adsorption_coefficient_koc_l_kg_opera_pred,octanol_water_partition_logp_opera_pred,melting_point_degc_opera_pred,vapor_pressure_mmhg_opera_pred,water_solubility_mol_l_opera_pred,test_bcf_test_pred,boiling_point_degc_test_pred,density_g_cm_3_test_pred,flash_point_degc_test_pred,melting_point_degc_test_pred,surface_tension_dyn_cm_test_pred,thermal_conductivity_mw_m_k_test_pred,viscosity_cp_cp_test_pred,vapor_pressure_mmhg_test_pred,water_solubility_mol_l_test_pred,category,class
DTXSID30395037,1,tris[(Trifluoroethoxy)methane],58244-27-2,C7H7F9O3,310.116,310.025147552,FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,1.2303800000000001E-13,2.6167600000000002,4.5866400000000001,91.790400000000005,9.67015E-4,0.149451,2.56643,168.88,2.4138099999999998,-4.05044,0.45543,8.3226999999999995E-2,123.595,108.43600000000001,1.575,31.895,-97.387,-,90.426000000000002,1.2942,16.405899999999999,2.9853799999999999E-4,ethers,alternative
DTXSID3047558,2,6:2 Fluorotelomer methacrylate,2144-53-8,C12H9F13O2,432.181,432.039495649,CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.5547400000000001E-11,115.357,4.4814400000000001,139.756,2.6339900000000001E-7,6.0906799999999999,4.55924,1119.81,3.9233899999999999,-1.79155,1.9724299999999998E-3,6.44708E-3,-,194.56899999999999,1.651,71.67,-45.756999999999998,-,90.108999999999995,-,0.42854900000000001,5.7543999999999997E-7,ethers,alternative
DTXSID8046614,3,Sevoflurane,28523-86-6,C4H3F7O,200.056,200.007211858,FCOC(C(F)(F)F)C(F)(F)F,4.39726E-14,48.052999999999997,3.6817500000000001,54.982900000000001,5.0901999999999996E-3,0.31753500000000001,1.2074,351.97,1.94048,-69.851900000000001,264.46300000000002,5.9065100000000002E-3,4.8194800000000004,31.097999999999999,1.429,6.1379999999999999,-89.793000000000006,13.295999999999999,77.974000000000004,0.70307200000000003,331.89400000000001,7.3282499999999999E-4,ethers,alternative
DTXSID50892417,4,"2,2,3,3,4,4-Hexafluorobutanoic acid",679-12-9,C4H2F6O2,196.048,195.995898282,OC(=O)C(F)(F)C(F)(F)C(F)F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,carboxylates,alternative
DTXSID8051419,5,[3-[[(heptadecafluorooctyl)sulphonyl]amino]propyl]trimethylammonium iodide,1652-63-7,C14H16F17IN2O2S,726.23,725.97057,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.47211E-11,166.095,5.6768000000000001,215.83600000000001,3.5606199999999997E-10,3.3133599999999999,7.48041,129444,4.5351600000000003,154.09700000000001,2.4279800000000001E-5,9.6842E-4,-,-,-,-,63.267000000000003,-,-,-,-,3.27341E-3,sulfonamide,legacy
DTXSID8037706,6,Potassium perfluorooctanesulfonate,2795-39-3,C8F17KO3S,538.22,537.8933753,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.0461899999999998E-15,5.9094800000000003,4.9295,218.523,1.8511800000000001E-11,2.6617000000000002,4.7476599999999998,354.30200000000002,2.7698700000000001,71.020799999999994,1.4862200000000001E-2,9.1244700000000008E-3,1468.93,243.952,1.9059999999999999,-,15.157999999999999,-,-,-,-,2.2908700000000001E-2,sulfonates,legacy
DTXSID20375106,7,"Perfluoro-3,6-dioxaoctane-1,8-dioic acid",55621-21-1,C6H2F8O6,322.063,321.972363088,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(O)=O,8.3655399999999999E-13,2.48149,4.1285999999999996,265.18799999999999,6.4489400000000004E-11,1.1043700000000001,7.2059199999999999,44.750999999999998,2.3344900000000002,97.909099999999995,6.8821900000000006E-5,1.27522,13.4276,232.31800000000001,1.7589999999999999,105.807,94.507999999999996,-,-,-,9.3110799999999994E-3,1.2676500000000001E-4,ethers,alternative
DTXSID20861913,8,Perfluorobutanesulfonyl fluoride,375-72-4,C4F10O2S,302.09,301.945932044,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(F)(=O)=O,6.1489000000000002E-16,8.41099,3.6758899999999999,75.168999999999997,1.9938299999999999E-2,0.153003,2.2599399999999998,1010.83,3.6787200000000002,-42.514099999999999,3845.09,1.0557100000000001E-3,72.778000000000006,136.71799999999999,1.772,35.432000000000002,-52.234999999999999,15.252000000000001,-,-,14.6218,1.9408899999999999E-4,others,alternative
DTXSID6027426,9,N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,1691-99-2,C12H10F17NO3S,571.25,571.010993131,CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7.0947899999999999E-12,84.794300000000007,4.4839900000000004,193.054,3.52443E-10,3.1220699999999999,7.5034599999999996,15942.1,5.8474399999999997,73.712000000000003,2.12041E-4,1.6349300000000001E-2,153.10900000000001,-,1.756,121.051,32.219000000000001,-,-,-,7.9615900000000003E-2,7.0307199999999996E-7,sulfonamide,legacy
DTXSID00442840,10,2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate,329710-76-1,C4H4F6O4S,262.12,261.973448761,FC(F)(F)OCCOS(=O)(=O)C(F)(F)F,1.8702099999999999E-13,1.9412700000000001,3.67794,107.973,7.6583300000000005E-4,0.24434700000000001,2.5278499999999999,27.2166,2.5349699999999999,-2.7182400000000002,0.77585099999999996,0.43771199999999999,-,145.02500000000001,1.675,63.929000000000002,10.835000000000001,-,-,6.8233899999999998,9.7499000000000002E-2,1.7498500000000001E-3,ethers,alternative
