pfas,name,measure,mean,sd,sig,pvalue
1,tris(Trifluoroethoxy)methane,pericardial edema ,2.222222222,3.849001795,Yes,<0.0001
2,6:2 Fluorotelomer methacrylate,pericardial edema ,3.333333333,3.333333333,Yes,<0.0001
3,Sevoflurane,pericardial edema ,0,0,No,>0.9999
4,4H-Perfluorobutanoic acid,pericardial edema ,1.111111111,1.924500897,Yes,0.0324
5,Perfluorooctanesulfonamido ammonium iodide,pericardial edema ,0,0,No,>0.9999
6,Potassium perfluorooctanesulfonate,pericardial edema ,1.111111111,1.924500897,Yes,0.0324
7,"Perfluoro-3,6-dioxaoctane-1,8-dioic acid",pericardial edema ,2.222222222,3.849001795,Yes,<0.0001
8,Perfluorobutanesulfonyl fluoride,pericardial edema ,0,0,No,>0.9999
9,N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,pericardial edema ,1.111111111,1.924500897,Yes,0.0324
10,2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate,pericardial edema ,2.222222222,1.924500897,Yes,<0.0001
11,Heptafluorobutanol,pericardial edema ,4.444444444,3.849001795,Yes,<0.0001
12,Perfluorobutanoic acid,pericardial edema ,1.111111111,1.924500897,Yes,0.0324
13,"2,2-Difluoroethyl triflate",pericardial edema ,2.222222222,1.924500897,Yes,<0.0001
14,"2H,2H,3H,3H-Perfluorooctanoic acid",pericardial edema ,0,0,No,>0.9999
15,4:2 Fluorotelomer sulfonic acid,pericardial edema ,1.111111111,1.924500897,Yes,0.0324
16,N-Methylperfluorooctanesulfonamide,pericardial edema ,0,0,No,>0.9999
17,Perfluorononanoic acid,pericardial edema ,0,0,No,>0.9999
18,Allyl perfluoroisopropyl ether,pericardial edema ,0,0,No,>0.9999
19,Nonafluoropentanamide,pericardial edema ,0,0,No,>0.9999
20,Perfluorohexanoic acid,pericardial edema ,0,0,No,>0.9999
21,Ammonium perfluorooctanoate,pericardial edema ,2.222222222,1.924500897,Yes,<0.0001
22,1-Propenylperfluoropropane,pericardial edema ,0,0,No,>0.9999
23,"3,3-Bis(trifluoromethyl)-2-propenoic acid",pericardial edema ,1.111111111,1.924500897,Yes,0.0324
24,N-Ethylperfluorooctanesulfonamide,pericardial edema ,1.111111111,1.924500897,Yes,0.0324
25,2-Vinylperfluorobutane,pericardial edema ,0,0,No,>0.9999
26,Potassium perfluorohexanesulfonate,pericardial edema ,0,0,No,>0.9999
27,Flurothyl,pericardial edema ,2.222222222,1.924500897,Yes,<0.0001
28,Perfluoro(4-methoxybutanoic) acid,pericardial edema ,0,0,No,>0.9999
29,"1,1,1,3,3-Pentafluorobutane",pericardial edema ,0,0,No,>0.9999
30,"3-(Perfluoro-2-butyl)propane-1,2-diol",pericardial edema ,2.222222222,1.924500897,Yes,<0.0001
31,Heptafluorobutyramide,pericardial edema ,0,0,No,>0.9999
32,"1H,1H,8H,8H-Perfluoro-3,6-dioxaoctane-1,8-diol",pericardial edema ,1.111111111,1.924500897,Yes,0.0324
33,2-Aminohexafluoropropan-2-ol,pericardial edema ,0,0,No,>0.9999
34,"Perfluoro-3,6,9-trioxatridecanoic acid",pericardial edema ,0,0,No,>0.9999
35,Hexafluoroamylene glycol,pericardial edema ,1.111111111,1.924500897,Yes,0.0324
36,Methyl perfluorohexanoate,pericardial edema ,1.111111111,1.924500897,Yes,0.0324
37,Perfluoro-2-methyl-3-oxahexanoic acid,pericardial edema ,2.222222222,1.924500897,Yes,<0.0001
38,Perfluoropentanamide,pericardial edema ,1.111111111,1.924500897,Yes,0.0324
39,"Methyl 2H,2H,3H,3H-perfluoroheptanoate",pericardial edema ,0,0,No,>0.9999
40,4:4 Fluorotelomer alcohol,pericardial edema ,0,0,No,>0.9999
41,4:2 Fluorotelomer alcohol,pericardial edema ,3.333333333,5.773502692,Yes,<0.0001
42,Perfluorobutyraldehyde,pericardial edema ,2.222222222,3.849001795,Yes,<0.0001
43,Pentafluoropropanoic anhydride,pericardial edema ,4.444444444,5.091750772,Yes,<0.0001
44,Perfluoroisobutyl methyl ether,pericardial edema ,1.111111111,1.924500897,Yes,0.0324
45,"Bis(1H,1H-perfluoropropyl)amine",pericardial edema ,1.111111111,1.924500897,Yes,0.0324
46,Perfluorooctanesulfonic acid,pericardial edema ,0,0,No,>0.9999
47,Methyl heptafluorobutyrate,pericardial edema ,2.222222222,1.924500897,Yes,<0.0001
48,"1H,1H,5H-Perfluoropentanol",pericardial edema ,4.444444444,1.924500897,Yes,<0.0001
49,3-(Perfluoropropyl)propanol,pericardial edema ,0,0,No,>0.9999
50,11:1 Fluorotelomer alcohol,pericardial edema ,1.111111111,1.924500897,Yes,0.0324
51,5H-Octafluoropentanoyl fluoride,pericardial edema ,1.111111111,1.924500897,Yes,0.0324
52,"Difluoromethyl 1H,1H-perfluoropropyl",pericardial edema ,1.111111111,1.924500897,Yes,0.0324
53,Heptafluoropropyl trifluorovinyl ether,pericardial edema ,0,0,No,>0.9999
54,"Perfluoro-3,6-dioxaheptanoic acid",pericardial edema ,1.111111111,1.924500897,Yes,0.0324
55,Methyl perfluoroethyl ketone,pericardial edema ,1.111111111,1.924500897,Yes,0.0324
56,3-(Perfluoroisopropyl)-2-propenoic acid,pericardial edema ,0,0,No,>0.9999
57,Potassium perfluorobutanesulfonate,pericardial edema ,1.111111111,1.924500897,Yes,0.0324
58,Octafluoroadipamide,pericardial edema ,1.111111111,1.924500897,Yes,0.0324
59,"1H,1H,2H-Perfluoro-1-hexene",pericardial edema ,0,0,No,>0.9999
60,Perfluorooctanesulfonamide,pericardial edema ,0,0,No,0.9281
61,3H-Perfluoro-4-hydroxy-3-penten-2-one,pericardial edema ,0,0,No,0.9281
62,1-Pentafluoroethylethanol,pericardial edema ,1.111111111,1.924500897,No,0.1921
63,Perfluoroglutaryl difluoride,pericardial edema ,0,0,No,0.9281
64,8:2 Fluorotelomer alcohol,pericardial edema ,0,0,No,0.9281
65,Ethyl perfluorobutyl ether,pericardial edema ,0,0,No,0.9281
66,"3H-Perfluoro-2,2,4,4-tetrahydroxypentane",pericardial edema ,0,0,No,0.9281
67,Dodecafluoroheptanol,pericardial edema ,1.111111111,1.924500897,No,0.9281
68,"1H,1H-Perfluoropentylamine",pericardial edema ,0,0,No,0.9281
69,6H-Perfluorohex-1-ene,pericardial edema ,0,0,No,0.9281
70,6:2 Fluorotelomer alcohol,pericardial edema ,0,0,No,0.9281
71,2-Amino-2H-perfluoropropane,pericardial edema ,0,0,No,0.9281
72,5H-Perfluoropentanal,pericardial edema ,0,0,No,0.9281
73,Perfluorobutanesulfonic acid,pericardial edema ,0,0,No,0.9281
74,Perfluorooctanoic acid,pericardial edema ,0,0,No,0.9281
1,tris(Trifluoroethoxy)methane,tail dysplasia ,2.222222222,3.849001795,Yes,0.0009
