pfas_id,preferred_name,casrn,img_html
1,tris[(Trifluoroethoxy)methane],58244-27-2,"<img src=""molecules/1.png"" height =""100""></img>"
2,6:2 Fluorotelomer methacrylate,2144-53-8,"<img src=""molecules/2.png"" height =""100""></img>"
3,Sevoflurane,28523-86-6,"<img src=""molecules/3.png"" height =""100""></img>"
4,"2,2,3,3,4,4-Hexafluorobutanoic acid",679-12-9,"<img src=""molecules/4.png"" height =""100""></img>"
5,[3-[[(heptadecafluorooctyl)sulphonyl]amino]propyl]trimethylammonium iodide,1652-63-7,"<img src=""molecules/5.png"" height =""100""></img>"
6,Potassium perfluorooctanesulfonate,2795-39-3,"<img src=""molecules/6.png"" height =""100""></img>"
7,"Perfluoro-3,6-dioxaoctane-1,8-dioic acid",55621-21-1,"<img src=""molecules/7.png"" height =""100""></img>"
8,Perfluorobutanesulfonyl fluoride,375-72-4,"<img src=""molecules/8.png"" height =""100""></img>"
9,N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,1691-99-2,"<img src=""molecules/9.png"" height =""100""></img>"
10,2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate,329710-76-1,"<img src=""molecules/10.png"" height =""100""></img>"
11,Heptafluorobutanol,375-01-9,"<img src=""molecules/11.png"" height =""100""></img>"
12,Perfluorobutanoic acid,375-22-4,"<img src=""molecules/12.png"" height =""100""></img>"
13,"2,2-Difluoroethyl triflate",74427-22-8,"<img src=""molecules/13.png"" height =""100""></img>"
14,"2H,2H,3H,3H-Perfluorooctanoic acid",914637-49-3,"<img src=""molecules/14.png"" height =""100""></img>"
15,4:2 Fluorotelomer sulfonic acid,757124-72-4,"<img src=""molecules/15.png"" height =""100""></img>"
16,N-Methylperfluorooctanesulfonamide,31506-32-8,"<img src=""molecules/16.png"" height =""100""></img>"
17,Perfluorononanoic acid,375-95-1,"<img src=""molecules/17.png"" height =""100""></img>"
18,Allyl perfluoroisopropyl ether,15242-17-8,"<img src=""molecules/18.png"" height =""100""></img>"
19,Nonafluoropentanamide,13485-61-5,"<img src=""molecules/19.png"" height =""100""></img>"
20,Perfluorohexanoic acid,307-24-4,"<img src=""molecules/20.png"" height =""100""></img>"
